City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Port-aux-Français,-49.35,70.2167,1.12,67,99,16.8,TF,1696973510
1,Vorgashor,67.5833,63.95,1.3,81,100,5.75,RU,1696973510
2,Parham,17.0968,-61.7705,28.83,74,20,3.09,AG,1696973511
3,Talnakh,69.4865,88.3972,2.34,96,100,4.84,RU,1696973511
4,Saint Croix,17.7397,-64.7388,30.25,76,0,5.66,VI,1696973511
5,Puerto Natales,-51.7236,-72.4875,4.98,77,52,5.51,CL,1696973511
6,Iqaluit,63.7506,-68.5145,0.85,80,100,1.54,CA,1696973512
7,Likasi,-10.9814,26.7333,22.63,31,18,1.33,CD,1696973512
8,Necoclí,8.4234,-76.786,29.04,79,94,2.74,CO,1696973512
9,Puerto San José,13.9256,-90.8244,28.98,77,94,3.33,GT,1696973513
10,Bredasdorp,-34.5322,20.0403,15.1,84,56,4.47,ZA,1696973513
11,Lüderitz,-26.6481,15.1594,14.66,88,13,2.37,NA,1696973513
12,Adamstown,-25.066,-130.1015,20.27,67,98,6.42,PN,1696973513
13,Bubaque,11.2833,-15.8333,27.54,79,99,4.45,GW,1696973514
14,Port Lincoln,-34.7333,135.8667,19.82,42,2,6.56,AU,1696973514
15,Onega,63.9061,38.1404,0.42,81,33,3.58,RU,1696973514
16,Yabēlo,4.8833,38.0833,17.85,70,98,4.21,ET,1696973514
17,Ushuaia,-54.8,-68.3,2.81,75,75,6.17,AR,1696973342
18,Esim,4.8699,-2.2405,25.09,92,67,3.51,GH,1696973515
19,Edinburgh of the Seven Seas,-37.0676,-12.3116,13.9,95,100,6.62,SH,1696973381
20,Lompoc,34.6391,-120.4579,27.1,69,20,9.77,US,1696973516
21,St. John's,47.5649,-52.7093,12.1,98,100,6.17,CA,1696973239
22,Grytviken,-54.2811,-36.5092,1.13,98,100,3.58,GS,1696973516
23,Lata,40.1629,-8.3327,21.62,50,1,0.84,PT,1696973517
24,Anadyr,64.75,177.4833,-0.72,74,75,4.0,RU,1696973517
